id,type,category,name,amenity,shop,leisure,highway,railway,public_transport,addr_street,addr_housenumber,addr_city,phone,website,opening_hours,lat,lon
354229260,node,parks,Isle a la Cache County Forest Preserve,,,nature_reserve,,,,,,,,,,41.6395136,-88.0678996
354233195,node,parks,Butterfield Park,,,park,,,,,,,,,,41.5400347,-87.6439338
354249181,node,parks,Spirit Trail Park,,,nature_reserve,,,,,,,,,,41.5100346,-87.6989348
354261920,node,parks,,,,park,,,,,,,,,,41.5922542,-87.9208881
354261968,node,parks,Middle Rock Run Forest Preserve,,,park,,,,,,,,,,41.5100306,-88.1745058
354276502,node,parks,Braidwood City Park,,,park,,,,,,,,,,41.2691667,-88.2197222
354276511,node,parks,Sippel Memorial Field,,,park,,,,,,,,,,41.3444444,-87.6261111
354279691,node,parks,Old Plank Road Prairie Nature Preserve,,,park,,,,,,,,,,41.4997922,-87.7456656
354282362,node,parks,Ca Crest Park,,,park,,,,,,,,,,41.5291971,-88.2081186
354282852,node,parks,Hitts Siding Prairie Nature Preserve,,,nature_reserve,,,,,,,,,,41.3000316,-88.1722809
354282858,node,parks,Lake Renwick Heron Rookery Nature Preserve,,,park,,,,,,,,,,41.6008635,-88.1897862
354283005,node,parks,Long Run Seep Nature Preserve,,,park,,,,,,,,,,41.6236419,-88.0489486
354283042,node,parks,Lockport Prairie Nature Preserve,,,nature_reserve,,,,,,,,,,41.5825308,-88.0778375
354283092,node,parks,Gottschlag Park,,,park,,,,,,,,,,41.5284321,-88.0603776
354283419,node,parks,Wilmington Shrub Prairie Nature Preserve,,,park,,,,,,,,,,41.2766984,-88.1661692
354283434,node,parks,Romeoville Prairie Nature Preserve,,,nature_reserve,,,,,,,,,,41.6472529,-88.070061
369050957,node,parks,McClaughry Springs Woods,,,nature_reserve,,,,,,,,,,41.6753102,-87.8469989
369050972,node,parks,Palos Park Woods,,,nature_reserve,,,,,,,,,,41.6766991,-87.837832
369050973,node,parks,Paddock Woods,,,nature_reserve,,,,,,,,,,41.6789214,-87.8303318
369051006,node,parks,Swallow Cliff Woods South,,,nature_reserve,,,,,,,,,,41.6753101,-87.857277
369051033,node,parks,Tinley Creek Woods,,,nature_reserve,,,,,,,,,,41.6344163,-87.7924192
369051905,node,parks,King's Grove,,,nature_reserve,,,,,,,,https://fpdcc.com/,,41.4752196,-87.6560167
369059365,node,parks,Sauk Trail Woods,,,nature_reserve,,,,,,,,,,41.4897046,-87.6490759
369059948,node,parks,Elliot Woods Park,,,nature_reserve,,,,,,,,,,41.509179,-87.7065134
495761531,node,parks,,,,park,,,,,,,,,,41.5579403,-88.154585
1722805136,node,parks,,,,playground,,,,,,,,,,41.5610637,-88.2345041
1722806130,node,parks,,,,playground,,,,,,,,,,41.5538688,-88.2209792
2482812634,node,parks,Hampton Park,,,playground,,,,,,,,,,41.6500866,-88.0908199
2542057642,node,parks,Swallow Cliff Woods North,,,nature_reserve,,,,,,,,,,41.681773,-87.8613704
2682356698,node,parks,,,,playground,,,,,,,,,,41.5405796,-87.5948005
2682356857,node,parks,,,,playground,,,,,,,,,,41.5499584,-87.6472009
2682427070,node,parks,,,,playground,,,,,,,,,,41.5209506,-87.764614
2682444384,node,parks,,,,playground,,,,,,,,,,41.477164,-87.727825
2682444413,node,parks,,,,playground,,,,,,,,,,41.4851016,-87.7234933
2682444493,node,parks,,,,playground,,,,,,,,,,41.4876916,-87.7280651
2682493869,node,parks,,,,playground,,,,,,,,,,41.4727278,-87.6992013
2682494048,node,parks,,,,playground,,,,,,,,,,41.4978695,-87.6737146
2682521001,node,parks,,,,playground,,,,,,,,,,41.5054004,-87.6555344
2682867907,node,parks,,,,playground,,,,,,,,,,41.4691699,-87.6075087
2683535584,node,parks,,,,playground,,,,,,,,,,41.4967847,-87.859511
2683733710,node,parks,,,,playground,,,,,,,,,,41.5471557,-87.8968978
2683733715,node,parks,,,,playground,,,,,,,,,,41.546936,-87.8765804
2683757498,node,parks,,,,playground,,,,,,,,,,41.5386071,-87.8790886
2683757576,node,parks,,,,playground,,,,,,,,,,41.5304096,-87.8740445
2683757799,node,parks,,,,playground,,,,,,,,,,41.5314512,-87.8627963
2683815586,node,parks,,,,playground,,,,,,,,,,41.5651988,-87.7812989
2683862787,node,parks,,,,playground,,,,,,,,,,41.5917432,-87.6919268
2684045133,node,parks,,,,playground,,,,,,,,,,41.6151777,-87.7063804
2684045138,node,parks,,,,playground,,,,,,,,,,41.6226053,-87.715234
2684073411,node,parks,,,,playground,,,,,,,,,,41.6184933,-87.727859
2684073646,node,parks,,,,playground,,,,,,,,,,41.6217098,-87.7478916
2685210241,node,parks,,,,playground,,,,,,,,,,41.4210861,-87.7394439
2700711256,node,parks,,,,playground,,,,,,,,,,41.4900238,-87.8787487
3036340189,node,parks,Thorn Creek Nature Preserve,,,park,,,,,,,,,,41.4590416,-87.6988739
3110956148,node,parks,,,,playground,,,,,,,,,,41.6236399,-88.1294522
3277936085,node,parks,,,,playground,,,,,,,,,,41.7320491,-88.0411923
3279478302,node,parks,Oak Savanna,,,garden,,,,,,,,,,41.7291417,-88.0726203
3279536470,node,parks,,,,playground,,,,,,,,,,41.6731314,-87.9766597
3279536471,node,parks,,,,playground,,,,,,,,,,41.6633323,-87.9742263
3279536481,node,parks,,,,playground,,,,,,,,,,41.6612589,-87.9764772
3279744672,node,parks,,,,playground,,,,,,,,,,41.5735882,-88.060489
3441392275,node,parks,Sweet Woods,,,nature_reserve,,,,,,,,,,41.556462,-87.6004672
3441392276,node,parks,Brownell Woods,,,nature_reserve,,,,,,,,,,41.5620656,-87.6098656
3857049849,node,parks,Bachelor's Grove Woods,,,nature_reserve,,,,,,,,,,41.633311,-87.7841782
3882763022,node,parks,,,,playground,,,,,,,,,,41.72606,-87.8387978
4595598734,node,parks,,,,playground,,,,,,,,,,41.6714318,-88.2117871
4602474214,node,parks,,,,playground,,,,,,,,,,41.7016859,-88.1384664
4818613020,node,parks,Diamond Playground,,,playground,,,,,,,,,,41.2891623,-88.2591366
5259031637,node,parks,,,,playground,,,,,,,,,,41.5079769,-88.1707934
5277891992,node,parks,,,,playground,,,,,,,,,,41.5346772,-87.8984987
5381421620,node,parks,,,,playground,,,,,,,,,,41.7037063,-88.1968318
5381421821,node,parks,,,,playground,,,,,,,,,,41.7037214,-88.196576
5387442979,node,parks,,,,playground,,,,,,,,,,41.5545846,-88.216105
5476516461,node,parks,,,,playground,,,,,,,,,,41.6306721,-87.9343177
5950429199,node,parks,Hickory Creek Forest Preserve,,,nature_reserve,,,,,,,,,,41.5217367,-87.8647459
5984342972,node,parks,Kankakee Sands Preserve,,,nature_reserve,,,,,,,,https://www.reconnectwithnature.org/preserves-trails/preserves/kankakee-sands/,,41.2613158,-88.1732599
6497904295,node,parks,,,,playground,,,,,,,,,,41.5218055,-87.8036955
6497904311,node,parks,,,,playground,,,,,,,,,,41.5212408,-87.8088031
7972396836,node,parks,,,,playground,,,,,,,,,,41.650568,-88.1149712
8688678103,node,parks,,,,playground,,,,,,,,,,41.6568097,-87.5987426
9684499840,node,parks,,,,playground,,,,,,,,,,41.5318125,-87.8410856
10931028405,node,parks,Kiwanis Field,,,park,,,,,,,,,,41.6674806,-87.6236931
11001742617,node,parks,,,,garden,,,,,,,,,,41.7087609,-88.0884542
11258924298,node,parks,Tree Nursery,,,garden,,,,,,,,,,41.717748,-88.1432105
11258924300,node,parks,Herb Garden,,,garden,,,,,,,,,,41.7174484,-88.1433144
11258924301,node,parks,Lenore's Backyard Garden,,,garden,,,,,,,,,,41.7173963,-88.1434576
11258924302,node,parks,Sensory Garden,,,garden,,,,,,,,,,41.7173513,-88.1433846
11391328740,node,parks,McDonald's PlayPlace,,,playground,,,,,,,,,,41.7057165,-87.70165
11442254174,node,parks,McDonald's PlayPlace,,,playground,,,,,,,,,,41.5574419,-87.6933066
11610724125,node,parks,,,,park,,,,,,,,,,41.4750754,-87.8155326
11651325553,node,parks,Tampier Lake,,,nature_reserve,,,,,,,,,,41.6513799,-87.8957403
11651397061,node,parks,Tinley Creek Bike Path,,,park,,,,,,,,,,41.6529138,-87.7965771
11651402947,node,parks,,,,park,,,,,,,,,,41.6538158,-87.8628987
11663781948,node,parks,,,,playground,,,,,,,,,,41.6302802,-88.2096207
11970503821,node,parks,,,,playground,,,,,,,,,,41.5714521,-87.8753884
12337675294,node,parks,Welch Park,,,park,,,,,,,,,,41.7174528,-88.1978575
12576948695,node,parks,Willow Wood Park,,,nature_reserve,,,,,,,,,,41.5799546,-87.7103482
12628814570,node,parks,,,,playground,,,,,,,,,sunrise-sunset,41.5255689,-88.2197846
12628921100,node,parks,,,,playground,,,,,,,,,,41.5845305,-88.2185756
12630725919,node,parks,,,,playground,,,,,,,,,,41.5635681,-87.8252816
12630726285,node,parks,,,,playground,,,,,,,,,,41.5556171,-87.8324523
12631739758,node,parks,,,,playground,,,,,,,,,,41.5707361,-87.8253547
12688237768,node,parks,,,,playground,,,,,,,,,,41.4216397,-87.9726863
12688812746,node,parks,,,,playground,,,,,,,,,,41.4900395,-87.7377458
12688858634,node,parks,,,,playground,,,,,,,,,,41.4865587,-87.7101125
12697714257,node,parks,,,,playground,,,,,,,,,,41.5560781,-88.216559
12735911653,node,parks,,,,playground,,,,,,,,,,41.4991235,-87.8671419
12736061471,node,parks,,,,playground,,,,,,,,,,41.498811,-87.6849646
12753417388,node,parks,,,,playground,,,,,,,,,,41.6904461,-88.1446264
12753417409,node,parks,,,,playground,,,,,,,,,,41.6954999,-88.1406345
12759689844,node,parks,,,,playground,,,,,,,,,,41.5590653,-88.1924944
12764577211,node,parks,,,,playground,,,,,,,,,,41.60489,-88.1578252
12980102094,node,parks,,,,playground,,,,,,,,,,41.7219064,-87.80612
13037876101,node,parks,Oak Forest Park District,,,park,,,,Central Avenue,15601,,,,"Mo, Th 09:00-19:00; Tu-We, Fr 09:00-17:00; Sa 09:00-12:00",41.6074464,-87.7553494
13062020445,node,parks,,,,playground,,,,,,,,,,41.5654923,-87.7220563
13062020446,node,parks,,,,playground,,,,,,,,,,41.5654944,-87.7222226
13062020485,node,parks,,,,playground,,,,,,,,,,41.4131253,-87.7411555
13062029054,node,parks,,,,playground,,,,,,,,,,41.5606617,-87.6625999
13062029057,node,parks,,,,playground,,,,,,,,,,41.5510783,-87.6729399
13062029358,node,parks,,,,playground,,,,,,,,,,41.5847785,-87.7399809
13062029360,node,parks,,,,playground,,,,,,,,,,41.5751746,-87.7481855
32484734,way,parks,McKiernan Park,,,park,,,,South Sawyer Avenue,10714,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/mckiernan-david-park,,41.6983524,-87.7029241
32603791,way,parks,Wendell Smith Park,,,park,,,,South Princeton Avenue,9912,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/smith-wendell-park,,41.7139662,-87.6320549
33261823,way,parks,Dan Ryan Woods,,,nature_reserve,,,,West 87th Street,,Chicago,,https://fpdcc.com/places/locations/dan-ryan-woods/,,41.7386623,-87.6749274
33261840,way,parks,The Park,,,park,,,,93rd Place,,Evergreen Park,,,,41.7258628,-87.6896148
33265940,way,parks,,,,park,,,,,,,,,,41.4130184,-88.1147639
33539725,way,parks,Michelle Bingham Park,,,park,,,,,,,,,,41.4996111,-87.8675232
34130555,way,parks,Northwest Park,,,park,,,,,,Evergreen Park,,,,41.7269915,-87.7141883
38782093,way,parks,Oakdale Park,,,park,,,,West 95th Street,965,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/oakdale-park,,41.7203085,-87.64867
42391629,way,parks,Shorewood Four Seasons Park,,,park,,,,,,,,,,41.5103496,-88.23367
42391660,way,parks,West Shore Park,,,park,,,,,,,,,,41.5181955,-88.2020056
42391683,way,parks,LONGLEAT PARK,,,park,,,,,,,,,,41.5454257,-88.1725892
42391685,way,parks,AUTUMN LAKES PARK,,,park,,,,,,,,,,41.5527902,-88.170495
42391737,way,parks,Briese Park,,,park,,,,,,,,,,41.5445092,-88.1503677
42948486,way,parks,,,,park,,,,,,,,,,41.5577025,-88.2045205
42955641,way,parks,Village Green Park,,,park,,,,,,,,,,41.6070041,-88.2057858
42955967,way,parks,Ottawa Street Park,,,park,,,,,,,,,,41.6061967,-88.1975853
42992495,way,parks,Gregory B. Bott Park,,,park,,,,,,,,,,41.5962973,-88.2148996
43407476,way,parks,West Park,,,park,,,,,,,,,,41.5101213,-88.1076645
43674251,way,parks,Clow Stephens Park,,,park,,,,,,,,,,41.5800698,-88.1884204
43674395,way,parks,Van Horn Woods Park,,,park,,,,,,,,,,41.5696231,-88.1858364
43674529,way,parks,,,,playground,,,,,,,,,,41.5701357,-88.1890789
43675093,way,parks,Riverside Parkway Park,,,park,,,,,,,,,,41.5623628,-88.1859543
44158343,way,parks,,,,playground,,,,,,,,,,41.6333317,-88.1175972
44158368,way,parks,Volunteer Park,,,park,,,,,,,,,,41.6335126,-88.1167392
44158666,way,parks,Sunset Park,,,park,,,,,,,,,,41.6332867,-88.0993354
44158707,way,parks,Pacific Park,,,park,,,,,,,,,,41.6320026,-88.1100826
44158770,way,parks,Malibu Bay Park,,,park,,,,,,,,,,41.6363247,-88.1104886
44158804,way,parks,Georgetown Park,,,park,,,,,,,,,,41.6361349,-88.1076638
44158830,way,parks,Jaycee Park,,,park,,,,,,,,,,41.6337977,-88.1071026
44158870,way,parks,Atchley Park,,,park,,,,,,,,,,41.6357666,-88.097408
44158872,way,parks,Irene King Park,,,park,,,,,,,,,,41.6361598,-88.0872914
44159057,way,parks,Heritage Falls Pool,,,park,,,,,,,,,,41.6258677,-88.0863042
44660214,way,parks,Century Park,,,park,,,,West Taylor Road,1475,,,,,41.62257,-88.1299455
44660239,way,parks,Wesglen Park,,,park,,,,,,,,,,41.6185263,-88.1363698
44660309,way,parks,Wespark,,,park,,,,,,,,,,41.6198032,-88.1311557
44660375,way,parks,Lakeshore Park,,,park,,,,,,,,,,41.6115964,-88.1405449
44660410,way,parks,Independence Park,,,park,,,,,,,,,,41.6151928,-88.1453693
44667376,way,parks,Weslake Park,,,park,,,,,,,,,,41.6206381,-88.1615633
44667620,way,parks,,,,park,,,,,,,,,,41.6119209,-88.1595635
44667637,way,parks,,,,park,,,,,,,,,,41.6154631,-88.1550874
44763540,way,parks,O'Hara Woods Nature Preserve,,,nature_reserve,,,,,,,,,,41.6445676,-88.1073058
46374334,way,parks,Northwest Community Park,,,park,,,,,,,,,,41.6490067,-88.2402134
46416802,way,parks,Community Park at Grande Park,,,park,,,,,,,,https://www.oswegolandparkdistrict.org/parks/community-park-at-grande-park/,,41.6413431,-88.2641955
46417876,way,parks,,,,playground,,,,,,,,,,41.6417431,-88.2627852
47464646,way,parks,,,,park,,,,,,,,,,41.6525237,-88.1960169
48439028,way,parks,Winston Woods Park,,,park,,,,,,,,,,41.7209556,-88.0608686
49175351,way,parks,Central Park,,,park,,,,,,,,,,41.4383169,-88.2170197
49828700,way,parks,,,,playground,,,,,,,,,,41.4487256,-88.2554368
49828704,way,parks,Lions Park,,,park,,,,,,,,,sunrise-sunset,41.4492262,-88.2554869
50148518,way,parks,Norman Greenway,,,park,,,,,,,,,,41.638839,-88.2378232
50168920,way,parks,Walker's Grove Park,,,park,,,,,,,,,,41.6413927,-88.23098
50585271,way,parks,Whiteford Field,,,park,,,,,,,,,,41.5378998,-88.1782132
50622659,way,parks,,,,playground,,,,,,,,,,41.5581294,-88.1412416
51319193,way,parks,,,,playground,,,,,,,,,,41.4711227,-88.1831987
51785752,way,parks,WEXFORD PARK,,,park,,,,,,,,,,41.5605965,-88.1655324
52010102,way,parks,Heritage Park,,,park,,,,West 151st Street,14200,Homer Glen,,,,41.617475,-87.963953
52049007,way,parks,,,,playground,,,,,,,,,,41.5606052,-88.1652636
52531815,way,parks,,,,playground,,,,,,,,,,41.5816873,-88.1907765
59498613,way,parks,Cider Creek Park,,,park,,,,,,,,https://bolingbrookparks.org/park/cider-creek-park/,,41.6895143,-88.1518678
59499125,way,parks,Century Park,,,park,,,,,,,,https://bolingbrookparks.org/park/century-park/,,41.6893914,-88.1437893
61599692,way,parks,,,,playground,,,,,,,,,,41.7303102,-88.1200579
61600936,way,parks,,,,playground,,,,,,,,,,41.7300376,-88.1160005
61604233,way,parks,,,,playground,,,,,,,,,,41.7223266,-88.091783
61604297,way,parks,Heritage Park,,,park,,,,,,,,https://bolingbrookparks.org/park/heritage-park/,,41.7212359,-88.0917605
62555506,way,parks,,,,playground,,,,,,,,,,41.739305,-88.0972872
67952549,way,parks,Ranchview Park,,,park,,,,Ranchview Drive,1727,Naperville,,https://www.napervilleparks.org/parks/ranchview,,41.740768,-88.0975414
70331327,way,parks,American Legion Park,,,park,,,,,,,,,,41.2378031,-87.6470571
85103181,way,parks,,,,playground,,,,,,,,,,41.5228475,-88.231078
85103612,way,parks,Towne Center Park,,,park,,,,,,,,,,41.5233525,-88.23105
88312875,way,parks,,,,playground,,,,,,,,,,41.7154777,-88.1538688
88313313,way,parks,,,,playground,,,,,,,,,,41.7202758,-88.1508343
88626077,way,parks,,,,park,,,,,,,,,,41.5981225,-88.1290949
90043775,way,parks,Ashbury Park,,,park,,,,Conan Doyle Road,1740,Naperville,,https://napervilleparks.org/location/ashburypark,,41.7031734,-88.1838068
90043791,way,parks,Ashbury Greenway,,,park,,,,Plainfield-Naperville Road,3475,Naperville,,https://napervilleparks.org/parks/ashburygreenway,,41.7033096,-88.1743212
90048485,way,parks,Crestview Knoll Park,,,park,,,,Falcon Drive,3803,Naperville,,https://napervilleparks.org/location/crestviewknoll,,41.6983808,-88.2002634
95982574,way,parks,,,,playground,,,,,,,,,,41.5410237,-88.0846127
103532286,way,parks,Mann Park,,,park,,,,East 130th Street,3055,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/mann-james-park,,41.657333,-87.5507647
107341106,way,parks,Des Plaines State Fish and Wildlife Area,,,nature_reserve,,,,,,,,https://www.dnr.illinois.gov/Parks/Pages/DesPlaines.aspx,06:00-22:00,41.3779921,-88.2120597
107341109,way,parks,Grant Creek Prairie Nature Preserve,,,nature_reserve,,,,,,,,,,41.3661322,-88.1894003
116851714,way,parks,Palmer Park,,,park,,,,East 111th Street,201,Chicago,,https://www.chicagoparkdistrict.com/parks/Palmer-Park/,,41.6908586,-87.6157858
116852007,way,parks,,,,playground,,,,,,,,,,41.6920373,-87.6172315
116852476,way,parks,Fernwood Park,,,park,,,,South Wallace Street,10436,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/fernwood-park,,41.7039843,-87.6391023
116852700,way,parks,Gately Park,,,park,,,,East 103rd Street,744,Chicago,,https://www.chicagoparkdistrict.com/parks/Gately-Park/,,41.708965,-87.6040605
116852986,way,parks,Jackie Robinson Park,,,park,,,,South Morgan Street,10540,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/robinson-jackie-park,,41.7007523,-87.6478121
116854167,way,parks,Gano Park,,,park,,,,,,,,,,41.6803794,-87.6493046
116854168,way,parks,Morgan Field Park,,,park,,,,South Morgan Street,11710,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/morgan-thomas-leeds-field-park,,41.6819275,-87.6475218
116854443,way,parks,Edward H. White Park,,,park,,,,West 122nd Street,1120,Chicago,,https://www.chicagoparkdistrict.com/parks/white-edward-h-park/,,41.673215,-87.649923
116854445,way,parks,Cooper Park,,,park,,,,South Ada Street,11712,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/cooper-jack-park,,41.6803649,-87.6553867
116855005,way,parks,West Pullman Park,,,park,,,,West 123rd Street,401,Chicago,,https://www.chicagoparkdistrict.com/parks/West-Pullman-Park/,,41.6697309,-87.6317016
117149937,way,parks,Kennedy Park,,,park,,,,South Western Avenue,11320,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/kennedy-dennis-park,,41.6872127,-87.6834788
117739186,way,parks,King Park,,,park,,,,,,,,,,41.5071803,-87.6273273
117739196,way,parks,,,,playground,,,,,,,,,,41.5077427,-87.6266527
119986454,way,parks,North Island Park,,,park,,,,,,,,,,41.3085181,-88.1501294
120426767,way,parks,Franson Park,,,park,,,,,,,,,,41.6321701,-87.6292719
120426768,way,parks,Ivanhoe Park,,,park,,,,,,,,,,41.6346248,-87.628439
122096416,way,parks,,,,park,,,,,,,,,,41.4654365,-87.6301127
122120083,way,parks,Hecht Park,,,park,,,,,,,,,,41.4726731,-87.6450149
125809746,way,parks,Trumbull Park,,,park,,,,East 105th Street,2400,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/trumbull-lyman-park,,41.7063323,-87.5644807
125812031,way,parks,Jesse Owens Park,,,park,,,,South Clyde Avenue,8800,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/Owens-Park/,,41.7352488,-87.574461
125812227,way,parks,Bessemer (Henry) Park,,,park,,,,South Muskegon Avenue,8930,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/bessemer-henry-park,,41.7318565,-87.557749
126282698,way,parks,Hayes Park,,,park,,,,West 85th Street,2936,Chicago,,https://www.chicagoparkdistrict.com/parks/Hayes-Park/,,41.7406232,-87.6968698
129991782,way,parks,Beverly Lawn Park,,,park,,,,,,,,,,41.7120692,-87.7314077
129993381,way,parks,Oak Meadows Park,,,park,,,,,,,,,,41.7119896,-87.7474459
131817211,way,parks,Hart Park,,,park,,,,,,,,,,41.6692269,-87.6794868
131817217,way,parks,Commissioners Park,,,park,,,,,,,,,,41.6652351,-87.7023219
131817392,way,parks,Mount Greenwood Park,,,park,,,,West 111th Street,3721,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/mount-greenwood-park,,41.6876878,-87.7152744
131817705,way,parks,Ridge Park,,,park,,,,South Longwood Drive,9625,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/ridge-park,,41.7166369,-87.6681742
131817707,way,parks,Beverly Park,,,park,,,,West 102nd Street,2460,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/beverly-park,,41.7082056,-87.6844229
131817710,way,parks,Brainerd Park,,,park,,,,West 92nd Street,1246,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/brainerd-park,,41.7277159,-87.6543172
132196534,way,parks,,,,park,,,,,,,,,,41.6159947,-88.2134233
135887315,way,parks,Wolfe Park,,,park,,,,East 108th Street,3325,Chicago,,https://www.chicagoparkdistrict.com/parks/Wolfe-Playground-Park/,,41.6982334,-87.5431684
135887316,way,parks,Dougherty Park,,,park,,,,South Kingston Avenue,9336,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/dougherty-daniel-park,,41.7251574,-87.5626204
135887317,way,parks,Calumet Park,,,park,,,,South Avenue G,9801,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/calumet-park,,41.715598,-87.529679
135918065,way,parks,Kandy Kane Park,,,park,,,,,,,,,,41.6300532,-87.5917665
135918066,way,parks,Blackstone Park,,,park,,,,,,,,,,41.6289777,-87.5798881
135919469,way,parks,Downey Park,,,park,,,,,,,,,,41.6281622,-87.5736143
135920164,way,parks,Cottage Park,,,park,,,,,,,,,,41.6383172,-87.5546694
135920165,way,parks,Memorial Park,,,park,,,,,,,,,,41.6182287,-87.5311435
135920381,way,parks,Harrison Park,,,park,,,,Hohman Avenue,5701-5805,Hammond,,,,41.6077072,-87.5203535
135920661,way,parks,Glendale Park,,,park,,,,,,,,,,41.602076,-87.523235
135920780,way,parks,Foster Park,,,park,,,,West 84th Street,1440,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/foster-j-frank-park,,41.7412946,-87.6599842
135921494,way,parks,Marshfield Park,,,park,,,,West 87th Street,1637,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/marshfield-park,,41.7354592,-87.6648832
136049160,way,parks,Settlers Park,,,park,,,,,,,,,,41.6032654,-88.2153149
136203215,way,parks,Tuley Park,,,park,,,,East 90th Place,501,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/tuley-murray-park,,41.7301346,-87.6119168
136203936,way,parks,Nat King Cole Park,,,park,,,,East 85th Street,361,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/cole-nat-king-park,,41.7392367,-87.6154197
136538536,way,parks,Centennial Park,,,park,,,,,,,,,,41.7217218,-87.7871875
136623114,way,parks,Barnard Park,,,park,,,,South Longwood Drive,10431,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/barnard-amy-l-park,,41.7033917,-87.6701507
136624733,way,parks,Crescent Park,,,park,,,,West 108th Place,2200,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/crescent-park,,41.6972806,-87.6775813
136628353,way,parks,Graver Park,,,park,,,,West 102nd Place,1500,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/graver-philip-park,,41.7077741,-87.6604522
136660943,way,parks,Briggs-Ellis Park,,,park,,,,,,,,,,41.6289676,-87.6523684
138740009,way,parks,Durkin Park,,,park,,,,South Kolin Avenue,8445,Chicago,,https://www.chicagoparkdistrict.com/parks-facilities/durkin-martin-park,,41.7393327,-87.7276471
